plot,trt,spiders,coleoptera,caelifera,hemiptera,pentatomid,lepidoptera
100,aug,25,13,12,119,0,0
100,ctl,33,11,6,206,2,4
100,dep,3,6,0,29,0,1
200,aug,15,9,18,30,2,2
200,ctl,8,9,4,24,0,0
200,dep,2,6,1,3,3,0
300,aug,13,12,5,66,2,2
300,ctl,6,5,1,15,0,1
300,dep,5,7,0,5,1,2
400,aug,17,8,13,34,1,0
400,ctl,14,11,5,51,1,0
400,dep,6,7,2,7,1,2
500,aug,14,12,4,57,1,7
500,ctl,9,2,1,41,1,1
500,dep,7,4,0,31,2,3
600,aug,18,7,2,117,0,4
600,ctl,9,1,0,61,0,2
600,dep,5,0,0,18,1,4
700,aug,29,6,2,70,3,4
700,ctl,16,7,8,44,0,1
700,dep,5,5,0,20,0,4
800,aug,25,8,2,64,1,6
800,ctl,21,6,5,66,6,1
800,dep,12,9,0,56,2,1
900,aug,7,18,0,59,3,1
900,ctl,9,2,1,17,2,3
900,dep,7,11,0,15,2,4
1000,aug,13,8,0,43,1,1
1000,ctl,4,7,3,30,4,5
1000,dep,5,10,0,41,4,1
1100,aug,8,6,2,157,1,7
1100,ctl,11,8,1,23,2,8
1100,dep,3,7,0,56,2,0
