10/4/2023,plot,trt,family,a_j
10/4/2023,101,dep,tetrgnathidae,j
10/4/2023,101,dep,thomisidae,a
10/4/2023,101,dep,thomisidae,a
10/4/2023,100,aug,thomisidae,a
10/4/2023,100,aug,thomisidae,a
10/4/2023,100,aug,thomisidae,a
10/4/2023,100,aug,thomisidae,j
10/4/2023,100,aug,thomisidae,j
10/4/2023,100,aug,thomisidae,j
10/4/2023,100,aug,thomisidae,a
10/4/2023,100,aug,thomisidae,a
10/4/2023,100,aug,tetrgnathidae,a
10/4/2023,100,aug,tetrgnathidae,a
10/4/2023,100,aug,salticidae,a
10/4/2023,100,aug,salticidae,a
10/4/2023,100,aug,salticidae,a
10/4/2023,100,aug,oxyopidae,j
10/4/2023,100,aug,oxyopidae,j
10/4/2023,100,aug,oxyopidae,j
10/4/2023,100,aug,oxyopidae,j
10/4/2023,100,aug,oxyopidae,j
10/4/2023,100,aug,oxyopidae,j
10/4/2023,100,aug,oxyopidae,j
10/4/2023,100,aug,tetrgnathidae,a
10/4/2023,100,aug,araneidae,a
10/4/2023,100,aug,araneidae,a
10/4/2023,100,aug,lycosidae,a
10/4/2023,100,aug,lycosidae,j
10/4/2023,100,aug,philodromidae,a
10/4/2023,101,ctl,thomisidae,j
10/4/2023,101,ctl,thomisidae,j
10/4/2023,101,ctl,thomisidae,j
10/4/2023,101,ctl,thomisidae,j
10/4/2023,101,ctl,thomisidae,j
10/4/2023,101,ctl,thomisidae,j
10/4/2023,101,ctl,thomisidae,j
10/4/2023,101,ctl,thomisidae,a
10/4/2023,101,ctl,thomisidae,a
10/4/2023,101,ctl,thomisidae,a
10/4/2023,101,ctl,thomisidae,j
10/4/2023,101,ctl,salticidae,a
10/4/2023,101,ctl,salticidae,j
10/4/2023,101,ctl,tetrgnathidae,a
10/4/2023,101,ctl,tetrgnathidae,a
10/4/2023,101,ctl,tetrgnathidae,j
10/4/2023,101,ctl,tetrgnathidae,j
10/4/2023,101,ctl,oxyopidae,j
10/4/2023,101,ctl,oxyopidae,j
10/4/2023,101,ctl,oxyopidae,j
10/4/2023,101,ctl,oxyopidae,j
10/4/2023,101,ctl,tetrgnathidae,a
10/4/2023,101,ctl,lycosidae,j
10/4/2023,101,ctl,philodromidae,a
10/4/2023,101,ctl,philodromidae,a
10/4/2023,101,ctl,oxyopidae,j
10/4/2023,101,ctl,thomisidae,j
10/4/2023,101,ctl,oxyopidae,j
10/4/2023,101,ctl,oxyopidae,j
10/4/2023,101,ctl,linyphiidae,a
10/4/2023,101,ctl,unknown,a
10/4/2023,200,dep,araneidae,a
10/4/2023,200,ctl,salticidae,a
10/4/2023,200,ctl,salticidae,a
10/4/2023,200,ctl,thomisidae,a
10/4/2023,200,ctl,thomisidae,a
10/4/2023,200,ctl,thomisidae,j
10/4/2023,200,ctl,oxyopidae,j
10/4/2023,200,ctl,oxyopidae,j
10/4/2023,200,ctl,oxyopidae,j
10/4/2023,200,ctl,oxyopidae,j
10/4/2023,200,ctl,oxyopidae,j
10/4/2023,200,ctl,linyphiidae,a
10/4/2023,200,ctl,thomisidae,j
10/4/2023,200,aug,salticidae,a
10/4/2023,200,aug,thomisidae,a
10/4/2023,200,aug,thomisidae,a
10/4/2023,200,aug,thomisidae,a
10/4/2023,200,aug,thomisidae,j
10/4/2023,200,aug,thomisidae,j
10/4/2023,200,aug,thomisidae,j
10/4/2023,200,aug,thomisidae,j
10/4/2023,200,aug,araneidae,a
10/4/2023,200,aug,linyphiidae,a
10/4/2023,200,aug,oxyopidae,j
10/4/2023,200,aug,oxyopidae,j
